name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2,activity_zone_id
,0,28740177.0,,parking,,,"POLYGON ((-111.9278255 33.4255339, -111.9277911 33.4245968, -111.9282497 33.4245857, -111.9282548 33.4248492, -111.928272 33.4253649, -111.9282778 33.4255371, -111.9282393 33.425537, -111.9278552 33.4255357, -111.9278255 33.4255339))",POINT (-111.9280358 33.4250628),4421.2,47589.8,153
Packard South Parking Structure,1,28740179.0,,parking,,,"POLYGON ((-111.9283318 33.4260588, -111.9283271 33.4249713, -111.9285728 33.4249716, -111.928656 33.4249718, -111.9289668 33.4249722, -111.9289648 33.424912, -111.9290969 33.4249048, -111.9290967 33.4249257, -111.9291221 33.4249263, -111.9291548 33.4249688, -111.9291595 33.4260563, -111.9283318 33.4260588))",POINT (-111.9287466 33.4255082),9370.6,100864.7,132
,2,28740200.0,,parking,,,"POLYGON ((-111.9317737 33.4249823, -111.9319282 33.424882, -111.9319968 33.4247817, -111.9320483 33.4246671, -111.9320655 33.424574, -111.9320912 33.4244952, -111.9320912 33.4243949, -111.9321084 33.4243304, -111.9325852 33.4246398, -111.9330053 33.4248686, -111.9335375 33.4251072, -111.9334418 33.4252513, -111.9329032 33.4249841, -111.9325347 33.4246892, -111.9324943 33.4246658, -111.9324641 33.4249851, -111.9323745 33.4250396, -111.9321427 33.4250898, -111.9317737 33.4249823))",POINT (-111.9324938 33.4248362),4656.4,50121.0,150
Desert Financial Arena,3,28753079.0,,yes,,,"POLYGON ((-111.9312484 33.4248947, -111.9310682 33.4249233, -111.9308879 33.4249233, -111.9307163 33.4249018, -111.9305875 33.4248445, -111.9304674 33.4247442, -111.930426 33.4246253, -111.930426 33.4244964, -111.9304517 33.4243889, -111.9305118 33.4242815, -111.9306405 33.4241668, -111.9307865 33.4241095, -111.9310096 33.424088, -111.931207 33.4241024, -111.9313873 33.4241668, -111.9315246 33.4242815, -111.9315847 33.4244104, -111.9315933 33.4245393, -111.9315574 33.4246726, -111.9314802 33.4247657, -111.9313772 33.4248373, -111.9312484 33.4248947))",POINT (-111.9310035 33.4245108),8176.2,88007.5,151
Tempe Police Station,4,28769209.0,,police,,,"POLYGON ((-111.9379166 33.4266942, -111.9372729 33.4264435, -111.9372815 33.4264005, -111.9370154 33.4262787, -111.9371699 33.4260137, -111.9372643 33.4260137, -111.9372557 33.4259134, -111.9372643 33.4258489, -111.9372901 33.4257773, -111.9373673 33.4257701, -111.9373673 33.4256914, -111.937642 33.4256842, -111.9376506 33.4258704, -111.9380969 33.4260424, -111.9379166 33.4263719, -111.9380711 33.4264435, -111.9379166 33.4266942))",POINT (-111.9375866 33.4261909),6404.0,68931.6,106
Stadium Parking Structure,5,28769223.0,,parking,,,"POLYGON ((-111.9336976 33.4245985, -111.9337004 33.4243083, -111.933707 33.4236387, -111.9335707 33.4236378, -111.9322628 33.4236289, -111.9322181 33.4236286, -111.9322148 33.4239671, -111.9324067 33.4239684, -111.9326403 33.42397, -111.9326373 33.4242807, -111.9330802 33.4242837, -111.9330772 33.4245943, -111.9336976 33.4245985))",POINT (-111.9331086 33.4240275),10584.8,113934.0,169
Business Administration C Wing,6,28821973.0,,yes,,,"POLYGON ((-111.9338446 33.4167976, -111.9335528 33.416554, -111.9338275 33.4162961, -111.934145 33.4165469, -111.9340787 33.4166022, -111.9338446 33.4167976))",POINT (-111.9338446 33.416548),1531.3,16483.2,349
Business Administration,7,28821988.0,,yes,,,"POLYGON ((-111.9342417 33.4166609, -111.9342432 33.4162508, -111.9347947 33.4162521, -111.9347933 33.4166664, -111.9345741 33.4166658, -111.9345729 33.4170029, -111.9343074 33.4170023, -111.9343086 33.416661, -111.9342417 33.4166609))",POINT (-111.9344966 33.4165642),3275.5,35257.1,348
Discovery Hall,8,28822011.0,,yes,,,"POLYGON ((-111.9351837 33.4164078, -111.9351836 33.4165885, -111.9354767 33.4165887, -111.9354767 33.4165987, -111.9355022 33.4166088, -111.935529 33.416611, -111.9355652 33.4166077, -111.9355867 33.416601, -111.9355867 33.4165875, -111.9358739 33.4165877, -111.935874 33.4164161, -111.9355965 33.416416, -111.9355965 33.416342, -111.9354641 33.4163419, -111.9354641 33.4164079, -111.9352642 33.4164078, -111.9351837 33.4164078))",POINT (-111.935525 33.416493),1372.4,14772.2,347
Student Services Building,9,28822055.0,,yes,,,"POLYGON ((-111.9361392 33.4164633, -111.9364651 33.4164655, -111.9364638 33.4165506, -111.9365147 33.4165517, -111.9365134 33.4171495, -111.9364691 33.4171495, -111.9364732 33.4175133, -111.9361419 33.4175155, -111.9361419 33.4170644, -111.9360646 33.4170396, -111.9360046 33.4169966, -111.9359526 33.4169465, -111.9359356 33.416882, -111.9359356 33.416839, -111.9359446 33.4167889, -111.9359706 33.4167387, -111.9360046 33.4166957, -111.9360646 33.4166599, -111.9361166 33.4166384, -111.9361389 33.4166324, -111.9361392 33.4164633))",POINT (-111.9362788 33.4169601),4508.5,48529.2,347
